ESTACION,CODIGO,DEPARTAMENTO,PROVINCIA,DISTRITO,LONGITUD,LATITUD,ALTITUD
ATE (ATE),112192,LIMA,LIMA,ATE,"76° 55'  ""W""","12° 01' ""S""",362 m s.n.m.
SAN BORJA (SBJ),112193,LIMA,LIMA,SAN BORJA,"77° 00'  ""W""","12° 06'  ""S""",136 m s.n.m
CAMPO DE MARTE (CDM),112194,LIMA,LIMA,JESUS MARIA,"77° 02'  ""W""","12° 04'  ""S""",123 m s.n.m
SANTA ANITA (STA),112208,LIMA,LIMA,SANTA ANITA,"76° 58'  ""W""","12° 02'  ""S""",276 m s.n.m
VILLA MARIA DEL TRIUNFO (VMT),112233,LIMA ,LIMA,VILLA MARIA DEL TRIUNFO,"76° 55'  ""W""","12° 09'  ""S""",292 m s.n.m
HUACHIPA (HCH),112266,LIMA,LIMA,SAN JUAN DE LURIGANCHO,"76° 56'  ""W""","12° 01'  ""S""",294 m s.n.m
SAN JUAN DE LURIGANCHO (SJL),112267,LIMA,LIMA,SAN JUAN DE LURIGANCHO,"76° 59'  ""W""","12° 01'  ""S""",239 m s.n.m
SAN MARTIN DE PORRES (SMP),112265,LIMA,LIMA,SAN MARTIN DE PORRES,"77° 05'  ""W""","12° 00'  ""S""",56 m s.n.m
CARABAYLLO (CRB),111286,LIMA,LIMA,CARABAYLLO,"77° 02'  ""W""","11° 54'  ""S""",190 m s.n.m
PUENTE PIEDRA (PPD),111287,LIMA,LIMA,PUENTE PIEDRA,"77° 04'  ""W""","11° 51'  ""S""",180 m s.n.m
